title,work experience,salary,region
Старший инженер по администрированию цифровых платформ,1–3 года,з/п не указана,Алматы
Middle/Senior Android Developer в Feature team,1–3 года,з/п не указана,Алматы
Solutions Architect,3–6 лет,от 3 000 до 6 000 USD до вычета налогов,Астана
React Native/React developer,1–3 года,з/п не указана,Астана
Executive Technical Director,3–6 лет,з/п не указана,Астана
Technical Director,3–6 лет,з/п не указана,Астана
QA engineer,1–3 года,з/п не указана,Алматы
"Senior Full-stack Developer (to Cyprus, Armenia)",3–6 лет,от 5 000 EUR на руки,город Лимасол
"Middle+/Senior DevOps Engineer, Communication Services",3–6 лет,з/п не указана,Астана
"Middle+/Senior DevOps Engineer, Communication Services",3–6 лет,з/п не указана,Алматы
Lead Observability Engineer,3–6 лет,з/п не указана,Астана
Senior DevOps Engineer,3–6 лет,з/п не указана,Караганда
BI Engineer (Tableau),1–3 года,з/п не указана,Алматы
"Migration Software Development and Support Engineer, Communication Services",3–6 лет,з/п не указана,Астана
Platform Engineer (PaaS team),3–6 лет,от 5 000 EUR на руки,Астана
Development Team Lead (Cyprus),более 6 лет,от 6 000 до 7 000 EUR на руки,Караганда
Development Team Lead (Cyprus),более 6 лет,от 6 000 до 7 000 EUR на руки,Алматы
"Scala Developer, Smart Platform",3–6 лет,з/п не указана,Алматы
Ведущий разработчик Департамента развития и поддержки информационных систем,1–3 года,з/п не указана,Алматы
"Scala Developer, Smart Platform",3–6 лет,з/п не указана,Караганда
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),3–6 лет,з/п не указана,Астана
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),3–6 лет,з/п не указана,Караганда
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),3–6 лет,з/п не указана,Аксай (Казахстан)
Tech Lead/Senior/Mid Senior Full-stack developer (Remote),3–6 лет,з/п не указана,Алматы
DevOps Engineer,3–6 лет,з/п не указана,Астана
Системный архитектор,3–6 лет,з/п не указана,Нур-Султан (Астана)
Senior Linux engineer,3–6 лет,з/п не указана,Алматы
Инженер-программист,1–3 года,от 300 000 до 300 000 KZT до вычета налогов,Алматы
Бэк-енд разработчик,3–6 лет,з/п не указана,Алматы
SRE-инженер,3–6 лет,з/п не указана,Алматы
Growth and Marketing Analyst,3–6 лет,з/п не указана,Алматы
